iter	Passed	Remaining
717	2963	1163
718	2967	1159
719	2971	1155
720	2974	1151
721	2978	1146
722	2982	1142
723	2986	1138
724	2990	1134
725	2994	1130
726	2998	1125
727	3001	1121
728	3005	1117
729	3009	1112
730	3013	1108
731	3017	1104
732	3022	1100
733	3026	1096
734	3031	1092
735	3035	1088
736	3039	1084
737	3042	1080
738	3046	1075
739	3050	1071
740	3053	1067
741	3057	1063
742	3061	1058
743	3065	1054
744	3069	1050
745	3072	1046
746	3076	1041
747	3080	1037
748	3084	1033
749	3088	1029
750	3092	1025
751	3095	1020
752	3099	1016
753	3103	1012
754	3106	1008
755	3111	1004
756	3114	999
757	3118	995
758	3122	991
759	3126	987
760	3130	983
761	3135	979
762	3139	975
763	3142	970
764	3146	966
765	3150	962
766	3153	958
767	3157	953
768	3161	949
769	3165	945
770	3169	941
771	3173	937
772	3178	933
773	3181	929
774	3185	924
775	3189	920
776	3193	916
777	3198	912
778	3202	908
779	3206	904
780	3210	900
781	3215	896
782	3219	892
783	3223	888
784	3227	883
785	3230	879
786	3234	875
787	3238	871
788	3242	867
789	3247	863
790	3251	859
791	3256	855
792	3261	851
793	3265	847
794	3269	843
795	3273	838
796	3277	834
797	3281	830
798	3285	826
799	3288	822
800	3292	818
801	3297	814
802	3302	810
803	3306	806
804	3310	801
805	3314	797
806	3318	793
807	3322	789
808	3327	785
809	3330	781
810	3334	777
811	3338	773
812	3342	768
813	3346	764
814	3350	760
815	3354	756
816	3358	752
817	3363	748
818	3367	744
819	3371	740
820	3375	736
821	3379	731
822	3383	727
823	3387	723
824	3391	719
825	3395	715
826	3399	711
827	3403	706
828	3407	702
829	3411	698
830	3414	694
831	3419	690
832	3422	686
833	3427	682
834	3430	677
835	3434	673
836	3438	669
837	3442	665
838	3447	661
839	3451	657
840	3454	653
841	3458	648
842	3462	644
843	3466	640
844	3469	636
845	3473	632
846	3478	628
847	3482	624
848	3485	619
849	3489	615
850	3493	611
851	3497	607
852	3500	603
853	3504	599
854	3508	594
855	3512	590
856	3516	586
857	3520	582
858	3524	578
859	3527	574
860	3531	570
861	3535	565
862	3539	561
863	3542	557
864	3546	553
865	3549	549
866	3553	545
867	3557	541
868	3561	536
869	3565	532
870	3568	528
871	3572	524
872	3576	520
873	3580	516
874	3583	511
875	3587	507
876	3592	503
877	3596	499
878	3599	495
879	3603	491
880	3607	487
881	3610	483
882	3614	478
883	3618	474
884	3621	470
885	3625	466
886	3629	462
887	3633	458
888	3637	454
889	3641	450
890	3644	445
891	3648	441
892	3652	437
893	3657	433
894	3661	429
895	3666	425
896	3670	421
897	3674	417
898	3678	413
899	3682	409
900	3685	405
901	3689	400
902	3693	396
903	3697	392
904	3701	388
905	3704	384
906	3708	380
907	3712	376
908	3716	372
909	3719	367
910	3723	363
911	3727	359
912	3731	355
913	3735	351
914	3739	347
915	3743	343
916	3747	339
917	3751	335
918	3755	330
919	3758	326
920	3762	322
921	3766	318
922	3770	314
923	3774	310
924	3778	306
925	3782	302
926	3786	298
927	3790	294
928	3793	289
929	3797	285
930	3800	281
931	3804	277
932	3808	273
933	3812	269
934	3816	265
935	3821	261
936	3825	257
937	3828	253
938	3832	248
939	3836	244
940	3840	240
941	3844	236
942	3849	232
943	3853	228
944	3857	224
945	3861	220
946	3864	216
947	3868	212
948	3872	208
949	3876	204
950	3880	199
951	3884	195
952	3888	191
953	3892	187
954	3896	183
955	3900	179
956	3904	175
957	3908	171
958	3912	167
959	3915	163
960	3919	159
961	3923	154
962	3927	150
963	3931	146
964	3935	142
965	3939	138
966	3942	134
967	3947	130
968	3950	126
969	3954	122
970	3958	118
971	3962	114
972	3966	110
973	3970	105
974	3974	101
975	3977	97
976	3981	93
977	3984	89
978	3988	85
979	3992	81
980	3995	77
981	3999	73
982	4004	69
983	4007	65
984	4011	61
985	4014	57
986	4018	52
987	4022	48
988	4025	44
989	4029	40
990	4033	36
991	4037	32
992	4041	28
993	4045	24
994	4049	20
995	4052	16
996	4055	12
997	4059	8
998	4062	4
999	4066	0
